persona_id,need_id,urgency,budget_allocated
P01,NEED_HEALTH,immediate,4000
P01,NEED_CI,short_term,2000
P02,NEED_EDUCATION,immediate,5000
P02,NEED_LIFE,short_term,3000
P03,NEED_HEALTH,immediate,2000
P04,NEED_LIFE,immediate,8000
P04,NEED_CI,short_term,3000
P05,NEED_EDUCATION,immediate,2000
P05,NEED_LIFE,short_term,1500
P06,NEED_SAVINGS,short_term,1500
P06,NEED_LIFE,long_term,1000
P07,NEED_RETIREMENT,immediate,10000
P07,NEED_HEALTH,short_term,5000
P08,NEED_PA,immediate,2500
P08,NEED_HEALTH,short_term,2000
P09,NEED_WEALTH,immediate,20000
P09,NEED_LEGACY,short_term,10000
P10,NEED_HEALTH,immediate,15000
P10,NEED_EDUCATION,short_term,5000
P11,NEED_HEALTH,immediate,5000
P11,NEED_RETIREMENT,short_term,5000
P12,NEED_SAVINGS,immediate,3000
P12,NEED_PA,short_term,2000
P13,NEED_RETIREMENT,immediate,15000
P13,NEED_WEALTH,short_term,10000
P14,NEED_LIFE,immediate,2000
P14,NEED_SAVINGS,short_term,500
P15,NEED_HEALTH,immediate,1500
P15,NEED_LIFE,long_term,1000
P16,NEED_HEALTH,immediate,3000
P17,NEED_LIFE,immediate,1500
P17,NEED_SAVINGS,short_term,1000
P18,NEED_HEALTH,immediate,8000
P18,NEED_LIFE,short_term,5000
P19,NEED_CI,immediate,10000
P19,NEED_HEALTH,short_term,10000
P20,NEED_PA,immediate,2500
P20,NEED_HEALTH,short_term,2000